regionId	raceId	apType	Description	name	description	href
RI	RI 41130	Question	7 - Approve Urban Housing Bonds	Question 7 	Approve $50 million in bonds to fund affordable house and urban revitalization	https://ballotpedia.org/Rhode_Island_Affordable_Housing_Bonds,_Question_7_(2016)
SD	SD 42561	Referendum	19 - Election Deadlines	Referendum 19 	Support SB 69 to change election laws for independent and minority parties	https://ballotpedia.org/South_Dakota_Independent_Candidates_Election_Law_Referendum,_Referred_Law_19_(2016)
SD	SD 42562	Referendum	20 - Youth Minimum Wage	Referendum 20 	Support SB 177 to decrease minimum wage for workers under age 18	https://ballotpedia.org/South_Dakota_Decreased_Youth_Minimum_Wage_Veto_Referendum,_Referred_Law_20_(2016)
SD	SD 42563	Measure	21 - Cap Interest Rates	Measure 21 	Place a 36 percent interest rate cap on short-term loans	https://ballotpedia.org/South_Dakota_Payday_Lending_Initiative,_Initiated_Measure_21_(2016)
SD	SD 42564	Measure	22 - Campaign Finance Overhaul	Measure 22 	Revise campaign finance and lobbying laws, create ethics commission	https://ballotpedia.org/South_Dakota_Revision_of_State_Campaign_Finance_and_Lobbying_Laws,_Initiated_Measure_22_(2016)
SD	SD 42565	Measure	23 - Union Fees	Measure 23 	Permit corporations and nonprofits to charge fees for services	https://ballotpedia.org/South_Dakota_Right_for_Organizations_to_Charge_Fees_for_Services,_Initiated_Measure_23_(2016)
SD	SD 42555	Amendment	R - Tech College Autonomy	Amendment R 	Create a separate board or entity to manage technical schools	https://ballotpedia.org/South_Dakota_Governance_of_Technical_Education_Institutes,_Constitutional_Amendment_R_(2016)
SD	SD 42556	Amendment	S - Crime Victim Rights	Amendment S 	Expand the rights of victims of crimes	https://ballotpedia.org/South_Dakota_Crime_Victim_Rights,_Constitutional_Amendment_S_(2016)
SD	SD 42557	Amendment	T - Redistricting Commission	Amendment T 	Create an independent congressional redistricting commission	https://ballotpedia.org/South_Dakota_Redistricting_Commission,_Constitutional_Amendment_T_(2016)
SD	SD 42558	Amendment	U - Interest Rate Loophole	Amendment U 	Remove limits on how much interest a money lender can charge on a loan, if the rate is agreed to in writing	https://ballotpedia.org/South_Dakota_Limit_on_Statutory_Interest_Rates_for_Loans,_Constitutional_Amendment_U_(2016)
SD	SD42560	Amendment	V - Nonpartisan Elections	Amendment V 	Establish nonpartisan primary elections for all elected offices, except presidency and vice presidency	https://ballotpedia.org/South_Dakota_Nonpartisan_Elections,_Constitutional_Amendment_V_(2016)
UT	UT 49633	Constitutional Amendment	A - Oath of Office Word Change	Constitutional Amendment A 	Change certain language in the state's oath of office	https://ballotpedia.org/Utah_Oath_of_Office,_Amendment_A_(2016)
UT	UT 49634	Constitutional Amendment	B - Changes to State School Fund	Constitutional Amendment B 	Change certain provisions governing the distribution and investment of the State School Fund	https://ballotpedia.org/Utah_School_Funds_Distribution,_Amendment_B_(2016)
UT	UT 49635	Constitutional Amendment	C - State Gov Prop Tax Exemption	Constitutional Amendment C 	Property tax exemptions for tangible personal property leased by the state	https://ballotpedia.org/Utah_Property_Tax_Exemptions,_Amendment_C_(2016)
VA	VA47962	Amendment	1 - Right to Work	Amendment 1 	Prohibit employers from requiring employees to join labor unions	https://ballotpedia.org/Virginia_%22Right_to_Work%22_Amendment_(2016)
VA	VA47963	Amendment	2 - Property Tax Exemptions	Amendment 2 	Allow for local property tax exemptions for spouses of first responders killed in the line of duty	https://ballotpedia.org/Virginia_Property_Tax_Exemption_for_Surviving_Spouses_of_Police_and_Service_Personnel_Amendment_(2016)
WA	WA 49401	Initiative	1433 - Increase Minimum Wage	Initiative 1433 	Increase the state minimum way to $13.50 by 2020 and require paid sick leave	https://ballotpedia.org/Washington_Minimum_Wage_Increase,_Initiative_1433_(2016)
WA	WA49407	Initiative	1464 - Campaign Finance	Initiative 1464 	Create a state-funded campaign finance system allowing residents to direct state funds to state political campaigns	https://ballotpedia.org/Washington_State-Provided_Campaign_Financing_Funded_by_a_Non-Resident_Sales_Tax,_Initiative_1464_(2016)
WA	WA 49404	Initiative	1491 - Firearms Access	Initiative 1491 	Allow courts to issue extreme risk protection orders prohibiting an individual from having access to firearms	https://ballotpedia.org/Washington_Individual_Gun_Access_Prevention_by_Court_Order,_Initiative_1491_(2016)
WA	WA 49405	Initiative	1501 - Fraud Protection	Initiative 1501 	Increase the penalties for criminal identity theft against seniors or vulnerable individuals	https://ballotpedia.org/Washington_Increased_Penalties_for_Crimes_Against_Vulnerable_Individuals,_Initiative_1501_(2016)
WA	WA 49406	Initiative	732 - Carbon Tax	Initiative 732 	Impose a carbon emission tax on the use of certain fossil fuels	https://ballotpedia.org/Washington_Carbon_Emission_Tax_and_Sales_Tax_Reduction,_Initiative_732_(2016)
WA	WA 49403	Initiative	735 - Oppose Citizens United	Initiative 735 	Call for a federal amendment reserving constitutional rights for people and not corporations	https://ballotpedia.org/Washington_Advisory_Question_about_the_Rights_of_Corporations_and_Money_as_Free_Speech,_Initiative_735_(2016)
WA	WA 49408	Initiative	8210 - Redistricting	Initiative 8210 	Set an earlier deadline for congressional redistricting	https://ballotpedia.org/Washington_Advancement_of_Date_for_Completion_of_Redistricting_Plan,_Senate_Joint_Resolution_No._8210_(2016)
WA	WA 49409	Advisory Vote	No. 14	Advisory Vote No. 14	Levy a tax on stand-alone family dental plans to fund the state health insurance exchange	https://ballotpedia.org/Washington_Taxation_of_Stand-Alone_Dental_Plans,_Advisory_Vote_14_(2016)
WA	WA49410	Advisory Vote	No. 15	Advisory Vote No. 15	Limit the sales tax exemption on certain alternative fuel vehicles	https://ballotpedia.org/Washington_Modifying_Tax_Exemption_Criteria_for_Alternative_Fuel_Vehicles,_Advisory_Vote_15_(2016)
WY	WY 51808	Constitutional Amendment	A - Expand Funds Leg May Invest	Constitutional Amendment A 	Permit the state legislature to invest additional state funds in equities	https://ballotpedia.org/Wyoming_Investment_of_Funds_in_Equities,_Constitutional_Amendment_A_(2016)
